hour,price,p_ch,p_dis,p_net,soc_start,soc_end,cashflow,cum_revenue
0,0.25,0.0,0.0,0.0,5.0,5.0,0.0,0.0
1,0.25,0.0,0.0,0.0,5.0,5.0,0.0,0.0
2,0.25,0.0,0.0,0.0,5.0,5.0,0.0,0.0
3,0.25,0.0,0.0,0.0,5.0,5.0,0.0,0.0
4,0.25,0.2631578947368421,0.0,-0.2631578947368421,5.0,5.25,-0.06578947368421052,-0.06578947368421052
5,0.25,5.0,0.0,-5.0,5.25,10.0,-1.25,-1.3157894736842106
6,0.45,0.0,-0.0,-0.0,10.0,10.0,-0.0,-1.3157894736842106
7,0.95,0.0,5.0,5.0,10.0,4.736842105263158,4.75,3.4342105263157894
8,0.95,0.0,4.500000000000001,4.500000000000001,4.736842105263158,0.0,4.275,7.70921052631579
9,0.95,0.0,-0.0,-0.0,0.0,-0.0,-0.0,7.70921052631579
10,0.95,0.0,0.0,0.0,-0.0,0.0,0.0,7.70921052631579
11,0.6,-0.0,0.0,0.0,0.0,0.0,0.0,7.70921052631579
12,0.6,0.0,0.0,0.0,0.0,-0.0,0.0,7.70921052631579
13,0.6,-0.0,0.0,0.0,-0.0,-0.0,0.0,7.70921052631579
14,0.6,0.0,0.0,0.0,-0.0,0.0,0.0,7.70921052631579
15,0.6,0.5263157894736842,0.0,-0.5263157894736842,0.0,0.5,-0.3157894736842105,7.393421052631579
16,0.6,5.0,0.0,-5.0,0.5,5.25,-3.0,4.393421052631579
17,0.6,5.0,0.0,-5.0,5.25,10.0,-3.0,1.3934210526315791
18,1.2,0.0,5.0,5.0,10.0,4.736842105263158,6.0,7.393421052631579
19,1.2,0.0,4.262500000000001,4.262500000000001,4.736842105263158,0.25,5.115000000000001,12.50842105263158
20,1.2,0.0,0.0,0.0,0.25,0.25,0.0,12.50842105263158
21,1.2,0.0,0.0,0.0,0.25,0.25,0.0,12.50842105263158
22,1.2,0.0,0.0,0.0,0.25,0.25,0.0,12.50842105263158
23,0.45,5.0,0.0,-5.0,0.25,5.0,-2.25,10.25842105263158
